# ---- basic_colors_msx1 (1-15)
0 0 0
62 184 73
116 208 125
89 85 224
128 118 241
185 94 81
101 219 239
219 101 89
255 137 125
204 195 94
222 208 135
58 162 65
183 102 181
204 204 204
255 255 255

# ---- palette_diz_new (16-89)
44 42 112
92 47 40
50 109 119
102 97 47
29 81 32
91 51 90
102 102 102
127 127 127
89 196 99
75 134 148
95 151 157
123 139 77
81 201 156
140 142 81
158 160 99
142 196 104
122 143 127
133 194 138
158 219 164
102 146 174
122 163 183
150 151 103
108 213 182
167 154 107
185 172 125
160 201 109
149 155 153
160 206 164
185 231 190
108 101 232
137 89 152
95 152 231
154 93 156
172 111 174
146 140 159
155 146 179
73 123 144
136 93 202
146 144 214
172 170 239
156 106 161
114 168 240
173 109 165
191 127 183
166 156 167
175 163 188
93 140 153
155 110 211
166 161 222
191 186 248
143 156 160
194 144 87
203 151 108
121 128 73
184 98 131
194 149 142
160 160 164
229 225 174
219 178 218
178 237 247
255 196 190
238 232 195
213 201 114
185 232 190
108 102 232
114 169 240
229 229 229
211 148 91
220 154 112
229 166 109
238 172 130
220 174 168
237 178 172
238 231 195

# ---- palette_low_luminance (90-95)
46 37 22
51 46 39
47 60 28
49 40 82
46 56 60
61 34 61
